2023-07-26 21:22:59,076 - root - INFO - Namespace(time_steps=10000000, num_flows=50, debug=False, num_envs=64, alg='PPO', model=None, topo='L5', link_rate=100)
2023-07-26 21:22:59,076 - root - INFO - start training...
2023-07-27 06:48:33,922 - root - INFO - ------Finish learning------
2023-07-27 06:48:33,923 - root - INFO - Execution time of train(): 33934.84673786163 seconds
2023-07-27 06:48:34,200 - matplotlib.pyplot - DEBUG - Loaded backend agg version v2.2.
2023-07-27 06:48:34,206 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,206 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,207 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,207 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,207 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,207 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,207 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2023-07-27 06:48:34,207 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2023-07-27 06:48:34,207 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2023-07-27 06:48:34,207 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
